"","Functional_groups","n_pre_mhw","mean_var_pre_mhw","sd_pre_mhw","n_post_mhw","mean_var_post_mhw","sd_post_mhw","diff"
"1","Arrowtooth_L",300,0.72942276479,0.08850226588097,120,0.663383277766667,0.00987557289682856,0.0660394870233334
"2","Arrowtooth_S",300,0.802662267506667,0.0678056337629459,120,0.742529404675,0.01207595587605,0.0601328628316667
"3","Avian_raptors",300,0.649068187093333,0.174530983028087,120,0.5219015032,0.00101606230917958,0.127166683893333
"4","Baleen_whales",300,0.743228104126667,0.0999882451809525,120,0.679214603166667,0.00210362372836645,0.0640135009599999
"5","Barnacles",300,0.87953504065,0.0804883904009017,120,0.838903334775,0.0395996860950386,0.040631705875
"6","Capelin",300,0.85953645984,0.0901148020246056,120,0.869870950775,0.0507306952162238,-0.0103344909349999
"7","Deep_demersals",300,0.94069231651,0.0241882210051565,120,0.915795339658333,0.0114025630189737,0.0248969768516666
"8","Deep_epibenthos",300,1.00352962872,0.0634089821431377,120,0.9685072581,0.0301395777785461,0.0350223706199999
"9","Deep_infauna_L",300,1.00381995159333,0.0429955198727369,120,0.982725283475,0.019222432304647,0.0210946681183333
"10","Deep_infauna_S",300,0.990769443146667,0.0958383015074357,120,0.958752899858333,0.0684886768660507,0.0320165432883334
"11","Eelgrass",300,1.0000027506,3.91339123991201e-06,120,1.00000484485833,1.93663426436366e-06,-2.09425833341825e-06
"12","Eulachon",300,0.954859565103333,0.172400990713032,120,0.875163813916667,0.0740742514258226,0.0796957511866667
"13","Fucus",300,1.00196428303667,0.00113181301132487,120,1.000051759175,0.000341700125202801,0.00191252386166663
"14","Halibut",300,0.710751430006667,0.114346021726169,120,0.6792956163,0.00561507017651232,0.0314558137066666
"15","Helmet_crab",300,0.951228367693333,0.0314385126140437,120,0.985628046133333,0.0169076298036867,-0.03439967844
"16","Herring_L",300,0.0725056647533333,0.135053494197887,120,0.011970015,0.00212973499120947,0.0605356497533333
"17","Herring_S",300,0.196782249376667,0.351499753359743,120,0.0279407786,0.00482113860070733,0.168841470776667
"18","Inshore_detritus",300,1.03514414607,0.0814612626201586,120,1.0002131239,0.0612719090417818,0.0349310221699999
"19","Invert_eat_seaduck",300,0.373323937153333,0.263903015111039,120,0.159646178658333,0.00055116999489362,0.213677758495
"20","Jellies",300,0.91351757647,0.091431539472534,120,0.880071885875,0.0660436487624445,0.033445690595
"21","Leather_stars",300,0.856693490336667,0.0496665313661394,120,0.944312016158333,0.01647421335329,-0.0876185258216667
"22","Lingcod",300,0.533805401433333,0.141010840274341,120,0.451496665933333,0.00137415849742994,0.0823087355
"23","Macroalgae_other",300,1.02156534135,0.0121724004935265,120,1.001434521925,0.00381836477473897,0.0201308194250001
"24","Meiofauna",300,0.951686278603333,0.0658148315376779,120,0.909907531233333,0.0447017492077102,0.04177874737
"25","Mussels",300,0.432302843653333,0.132048431442089,120,0.5521004724,0.0346970379024757,-0.119797628746667
"26","Nekton_falls",300,1.03533136406333,0.0167519338260323,120,1.02017591299167,0.00401167141700166,0.0151554510716665
"27","Nshore_demersal",300,0.62356832825,0.1189862090917,120,0.560670518425,0.00160737461553966,0.0628978098249999
"28","Octopods",300,0.154298424066667,0.17180762118845,120,0.0793887722083333,0.000561764371008196,0.0749096518583333
"29","Offshore_detritus",300,0.99280401408,0.0903965753855274,120,0.972618219233333,0.0752449400357252,0.0201857948466666
"30","Oystercatchers",300,0.57004726291,0.171750005866224,120,0.488967507075,0.00276159606548688,0.081079755835
"31","Pacific_cod",300,0.894262021606667,0.0360778674391772,120,0.866801611083333,0.00318426630409456,0.0274604105233334
"32","Phyto_near",300,1.01472533583,0.139684202080819,120,0.99065559205,0.118069721522547,0.0240697437799999
"33","Phyto_off",300,0.952816094346667,0.0795203928542822,120,0.936862281958333,0.0694213974320429,0.0159538123883334
"34","Pinnipeds",300,0.691494403693333,0.164751662843996,120,0.49572670955,0.00099273983008713,0.195767694143333
"35","Pisaster_Evasterias",300,0.576725873976667,0.106137630189883,120,0.691419164883333,0.0275215502874712,-0.114693290906667
"36","Pollock_L",300,0.941193151643333,0.119215039975674,120,0.933645984541667,0.0458605469106478,0.00754716710166659
"37","Pollock_S",300,0.994269842703333,0.117953366102906,120,0.988427545108333,0.0811013356227416,0.00584229759499999
"38","Porpoise",300,0.72104925851,0.0975864544367557,120,0.696404885783333,0.00754004257464615,0.0246443727266666
"39","Resident_orca",300,0.491743141953333,0.283326154020069,120,0.117476468908333,0.0175474390187638,0.374266673045
"40","Rockfish",300,0.59752102783,0.133216807849684,120,0.708833643308333,0.0559068559259115,-0.111312615478333
"41","Sablefish",300,0.755627530203333,0.105097627670632,120,0.717296382741667,0.0233891145378436,0.0383311474616667
"42","Salmon_L",300,1.28048787715333,0.0644717803013394,120,1.26924706699167,0.0124813300231438,0.0112408101616666
"43","Salmon_fry_S",300,1.21000915091667,0.118044171157023,120,1.22482733678333,0.0872110692319764,-0.0148181858666667
"44","Salmon_sharks",300,0.549821565466667,0.23029281600967,120,0.270812373616667,0.0143692549237364,0.27900919185
"45","Sandlance",300,0.10766189492,0.192475352491599,120,0.0248144926833333,0.00329472617852692,0.0828474022366667
"46","Sea_cucumbers",300,0.954801536413333,0.021981532475352,120,0.960667218275,0.00954942011725728,-0.00586568186166669
"47","Sea_otters",300,0.598753476346667,0.134221898357815,120,0.612182919691667,0.0115327904433358,-0.0134294433450001
"48","Seabirds",300,0.58954858017,0.139918529560114,120,0.450725772041667,0.00779422311726762,0.138822808128333
"49","Shallow_infauna_S",300,0.992478049193333,0.0794801628236948,120,0.964357930925,0.0575984139790722,0.0281201182683334
"50","Shallow_infauna_clams",300,1.02482809268333,0.048130121787607,120,0.987961814308333,0.0214437203093365,0.036866278375
"51","Sleeper_sharks",300,0.743113515183333,0.134848076535767,120,0.647940138483333,0.0371060393892512,0.0951733767
"52","Snail_crust_S",300,0.967381623013333,0.0411871051135808,120,0.995874904575,0.0259335476846346,-0.0284932815616668
"53","Spiny_dogfish",300,0.606571371843333,0.161915138047567,120,0.418633381525,0.00828604629380555,0.187937990318333
"54","Squids",300,0.866164780826667,0.0734952479144135,120,0.800247884816667,0.0437089243993936,0.0659168960100001
"55","Subtidal_kelps",300,1.00905184728,0.00542782539036287,120,1.001270928,0.00198403508979661,0.00778091928000002
"56","Sunflower_stars",300,0.2725360973,0.160892048813578,120,0.2310752927,0.00690388961658513,0.0414608046
"57","Transient_orca",300,0.852890703796667,0.2117454243467,120,0.434743330091667,0.00811271337847574,0.418147373705
"58","Urchins",300,0.806499321863333,0.039136589039493,120,0.820430460566667,0.00451531797957078,-0.0139311387033334
"59","Zoop_omniv",300,0.967982087946667,0.1261114120012,120,0.92056616245,0.0966453378568971,0.0474159254966666
"60","Zoopl_herb",300,1.04138562859667,0.114238322920016,120,1.04197155784167,0.104306761018582,-0.000585929244999894
"61","Zoopl_near_herb",300,1.03246259696333,0.199357535225627,120,0.982650642558333,0.152729168550755,0.0498119544050001
"62","Zoopl_near_onmiv",300,1.03360512434667,0.149832049682151,120,1.00525186114167,0.115529444373025,0.0283532632049999
